x,y,crash,Restaurants,ATMs,Bars,Bus Stops,Convenience Stores,Department Stores,Greengroceries,Hotels,Market Places,Metro Stations,School,Temples,Household,Intersections,Road length
121.54227,25.043182,445,36,0,3,2,4,0,0,0,0,0,0,0,436,166,11149.60359
121.490933,25.02654,798,12,0,0,0,5,0,0,0,0,0,1,3,477,166,9116.527865
121.544974,25.001103,872,15,1,3,0,5,0,0,0,0,0,0,0,341,166,5095.277535
121.540632,25.061273,452,11,0,0,0,4,0,0,0,1,1,0,2,619,165,7192.95685
121.51024,25.033361,789,11,0,0,0,3,0,0,0,0,0,2,0,239,165,7203.957191
121.528083,25.014251,1346,4,1,0,0,1,1,0,0,0,0,0,0,92,165,9443.559908
121.534937,25.05493,823,79,0,2,2,7,0,0,0,0,0,2,0,310,164,7523.127152
121.525225,25.061493,1117,5,1,0,0,4,0,0,0,0,0,1,0,314,164,6612.947876
121.546276,25.026248,1068,29,2,1,1,7,0,0,0,1,1,0,3,595,164,5663.908237
121.556159,25.049726,407,25,2,0,0,5,0,0,0,0,0,0,0,513,163,5908.320639
121.563081,25.030874,759,8,0,1,0,4,0,0,0,0,0,1,0,493,163,5678.408525
121.556285,24.981971,823,26,0,0,0,3,0,0,0,0,0,2,0,387,163,7578.438748
121.526271,25.024677,827,23,1,1,2,4,0,0,0,0,0,0,0,669,162,6051.725341
121.490263,25.134007,395,6,0,0,0,4,0,0,0,0,0,0,1,276,162,10932.8249
121.588252,25.047928,388,8,0,0,0,3,0,1,0,0,0,2,1,430,162,5140.531478
121.527302,25.106031,636,15,0,0,0,3,0,0,0,0,0,0,0,527,162,4662.276782
121.547438,25.107093,501,3,0,0,0,0,0,2,0,0,0,0,0,48,162,13427.74966
121.539653,25.047452,680,20,1,1,0,3,0,0,0,0,0,0,0,244,161,6209.6187
121.54126,25.023072,717,70,1,1,1,4,0,0,0,0,0,1,0,778,161,6557.8285
121.600771,25.055864,339,21,0,0,2,2,0,1,0,0,0,1,0,356,161,6470.372574
121.530473,25.01728,1009,61,0,0,0,8,0,0,0,0,0,0,0,255,160,5344.548001
121.505371,25.037916,553,18,1,0,0,2,0,0,0,0,0,0,2,431,160,4942.998586
121.560728,25.013308,355,3,0,0,0,2,0,1,0,1,1,0,0,338,160,10016.00285
121.524408,25.030594,686,3,0,0,0,0,0,0,0,0,0,0,0,336,160,5474.492431
121.504931,25.045005,1513,25,1,3,0,12,1,0,0,0,0,0,0,297,159,8601.913372
121.528842,25.055026,750,26,0,1,0,5,0,0,0,0,0,1,0,427,159,7329.62773
121.516764,25.064485,554,22,0,0,0,6,0,0,0,0,0,1,4,314,158,5494.657182
121.535682,25.103928,1168,8,0,0,0,1,0,6,0,0,0,1,0,194,158,9728.24311
121.54619,25.029597,1065,16,0,1,0,2,0,1,0,0,0,2,2,446,158,5818.841695
