no,luas_bangunan,luas_tanah,kamar_tidur,kamar_mandi,lantai,lokasi,price,title
193,65.0,121.0,3.0,2.0,1.0,Sleman Kab.,895000000,"CONDONGCATUR, Dekat Pakuwon Mall; Rumah Akses Mobil Papasan - Dijual: Rumah & Apartemen - 913150559"
194,120.0,81.0,3.0,2.0,1.0,Sleman Kab.,1226000000,Jual rumah Sleman Yogyakarta dengan kolam renang pribadi - Dijual: Rumah & Apartemen - 913454928
195,45.0,60.0,2.0,1.0,1.0,Yogyakarta Kota,380000000,Rumah baru siap huni pusat kota jogja - Dijual: Rumah & Apartemen - 921746732
197,160.0,119.0,4.0,3.0,2.0,Sleman Kab.,1690000000,Rumah Cantik Sleman Siap Huni - Dijual: Rumah & Apartemen - 921744099
200,200.0,225.0,1.0,2.0,2.0,Sleman Kab.,1800000000,"RUMAH USAHA DI MAGUWOHARJO DEKAT TAJEM,LOTTEMART,BUDI MULIA - Dijual: Rumah & Apartemen - 921741927"
201,70.0,119.0,3.0,1.0,1.0,Yogyakarta Kota,600000000,"Rumah Di Jogja, dalam Cluster, dalam Ring Road dekat masjid Jogokarian - Dijual: Rumah & Apartemen - 919630893"
202,180.0,248.0,5.0,3.0,1.0,Yogyakarta Kota,3000000000,"RUMAH 2 LANTAI DI DALAM PERUMAHAN TIMOHO, DEKAT JEC, BALAI KOTA JOGJA, - Dijual: Rumah & Apartemen - 913379031"
203,135.0,150.0,4.0,3.0,1.0,Sleman Kab.,1700000000,"rumah mewah di maguwoharjo, hanya 3 menit ke bandara adisucipto - Dijual: Rumah & Apartemen - 913363203"
204,250.0,439.0,4.0,3.0,1.0,Yogyakarta Kota,2700000000,TOWNHOUSE HOOK TANAH LUAS DI OPI PERUMAHAN CASSANDRA JAKABARING - Dijual: Rumah & Apartemen - 900163941
205,120.0,160.0,4.0,2.0,2.0,Sleman Kab.,1650000000,Rumah Modern Kamar 4 Dekat Jogja Bay Maguwo - Dijual: Rumah & Apartemen - 921741236
208,310.0,265.0,6.0,3.0,2.0,Yogyakarta Kota,2250000000,Rumah Usaha Dalam Kota Luas 265 m² - Dijual: Rumah & Apartemen - 921740099
209,78.0,115.0,3.0,2.0,1.0,Yogyakarta Kota,1200000000,"Dekat Kampus UMY, Rumah Berkualitas Jambon Dalam Ringroad - Dijual: Rumah & Apartemen - 906107518"
210,45.0,90.0,2.0,1.0,1.0,Yogyakarta Kota,424000011,Cicilan Ringan! Rumah Mewah Dekat Ringroad Selatan SHM - Dijual: Rumah & Apartemen - 921738848
211,125.0,103.0,3.0,3.0,2.0,Sleman Kab.,1700000000,Rumah mewah full furnish di Wedomartani Maguwoharjo dekat tajem - Dijual: Rumah & Apartemen - 921738832
213,1000.0,2769.0,9.0,9.0,1.0,Sleman Kab.,17000000000,Rumah Kantor Dekat UGM Kawasan Premium Dengan Tanah Luas - Dijual: Rumah & Apartemen - 921733318
214,125.0,103.0,3.0,3.0,2.0,Sleman Kab.,1700000000,Rumah Siap Huni Sleman Full Perabotan - Dijual: Rumah & Apartemen - 921733299
215,171.0,146.0,3.0,3.0,1.0,Sleman Kab.,2390000000,Rumah Siap Huni Tiyasan Full Furnished Kolam Renang - Dijual: Rumah & Apartemen - 921733275
216,44.0,90.0,2.0,1.0,1.0,Sleman Kab.,550000000,Rumah Baru Sleman Purwomartani Timur Kadisoka Wedomartani Jalan Tajem - Dijual: Rumah & Apartemen - 921732580
217,144.0,196.0,3.0,3.0,2.0,Sleman Kab.,980000000,Rumah LT 196 M2 Perum Penen Ngaglik Dekat JL Palagan JL Magelang Mlati - Dijual: Rumah & Apartemen - 921732297
218,64.0,102.0,2.0,1.0,1.0,Yogyakarta Kota,960000000,Hunian Furnished Perum Pondok Permai Dkat Kampus UAD Giwangan Kotagede - Dijual: Rumah & Apartemen - 921731956
219,225.0,235.0,3.0,2.0,1.0,Yogyakarta Kota,1500000000,Jual Rumah Tinggal Murah - Dijual: Rumah & Apartemen - 921731918
220,120.0,120.0,5.0,2.0,1.0,Sleman Kab.,750000000,Dijual Rumah 2 Lantai Minomartani Condongcatur Sleman Jogja - Dijual: Rumah & Apartemen - 921729461
221,140.0,170.0,5.0,2.0,1.0,Yogyakarta Kota,900000000,Dijual rumah tengah kota - Dijual: Rumah & Apartemen - 921729204
